snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1589255622,800,152,50.95459,1.37671,3852,63,1177
1589255630,800,160,50.95226,1.37804,3852,65,1177
1589255638,800,183,50.94975,1.37833,3852,70,1177
1589255646,800,190,50.94709,1.37733,3852,73,1177
1589255652,800,210,50.94525,1.37574,3852,69,1177
1589255658,800,225,50.94379,1.37367,3852,65,1177
1589255664,800,239,50.94264,1.37129,3852,63,1177
1589255670,800,247,50.94197,1.36909,3852,61,1177
1589255676,800,262,50.94150,1.36624,3852,57,1177
1589255718,800,324,50.94516,1.35243,3852,44,1177
1589255724,800,332,50.94635,1.35124,3852,43,1177
1589255730,800,338,50.94740,1.35058,3852,44,1177
1589255736,800,346,50.94868,1.34994,3852,44,1177
1589255742,800,356,50.94970,1.34979,3852,43,1177
1589255748,800,2,50.95096,1.34972,3852,43,1177
1589255754,800,9,50.95231,1.35002,3852,41,1177
1589255760,800,18,50.95343,1.35048,3852,42,1177
1589255766,800,26,50.95445,1.35117,3852,42,1177
1589255772,800,34,50.95557,1.35223,3852,42,1177
1589255778,800,42,50.95642,1.35332,3852,41,1177
1589255784,800,48,50.95729,1.35475,3852,42,1177
1589255790,800,57,50.95804,1.35628,3852,42,1177
1589255796,800,64,50.95859,1.35803,3852,43,1177
1589255802,800,72,50.95906,1.35979,3852,43,1177
1589255808,800,79,50.95926,1.36126,3852,44,1177
1589255815,800,90,50.95943,1.36383,3852,48,1177
1589255824,800,100,50.95926,1.36683,3852,50,1177
1589255830,800,109,50.95885,1.36913,3852,53,1177
1589255836,800,121,50.95808,1.37154,3852,56,1177
1589255842,800,132,50.95710,1.37352,3852,59,1177
1589255848,800,142,50.95589,1.37535,3852,62,1177
1589255854,800,151,50.95440,1.37680,3852,65,1177
1589255862,800,167,50.95221,1.37804,3852,67,1177
1589255872,800,188,50.94882,1.37810,3852,69,1177
1589255880,800,208,50.94621,1.37671,3852,70,1177
1589255886,800,221,50.94449,1.37482,3852,69,1177
1589255896,800,237,50.94267,1.37138,3852,66,1177
1589255902,800,249,50.94188,1.36879,3852,64,1177
1589255908,800,262,50.94151,1.36604,3852,59,1177
1589255944,800,320,50.94467,1.35307,3852,48,1177
1589255950,800,327,50.94562,1.35191,3852,47,1177
1589255956,800,335,50.94682,1.35094,3852,43,1177
1589255962,800,344,50.94803,1.35025,3852,43,1177
1589255972,800,354,50.94975,1.34979,3852,42,1177
1589255996,800,25,50.95431,1.35109,3852,41,1177
1589256002,800,30,50.95528,1.35191,3852,43,1177
1589256008,800,41,50.95636,1.35323,3852,43,1177
1589256014,800,48,50.95719,1.35460,3852,43,1177
1589256020,800,55,50.95799,1.35620,3852,44,1177
1589256026,800,63,50.95859,1.35788,3852,44,1177
1589256035,800,77,50.95920,1.36085,3852,48,1177
